x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-382.2940,-596.7509,36.4949,-0.6295,18.0000,0,0,0,0,0
-381.4897,-597.3367,36.4630,-0.6294,18.0000,0,0,0,0,0
-380.6813,-597.9254,36.4585,-0.6293,18.0000,0,0,0,0,0
-379.8729,-598.5139,36.4544,-0.6292,18.0000,0,0,0,0,0
-379.0644,-599.1024,36.4503,-0.6292,18.0000,0,0,0,0,0
-378.2559,-599.6908,36.4464,-0.6291,18.0000,0,0,0,0,0
-377.4473,-600.2792,36.4425,-0.6291,18.0000,0,0,0,0,0
-376.6387,-600.8676,36.4388,-0.6290,18.0000,0,0,0,0,0
-375.8301,-601.4559,36.4351,-0.6290,18.0000,0,0,0,0,0
-375.0214,-602.0442,36.4321,-0.6289,18.0000,0,0,0,0,0
-374.2128,-602.6324,36.4302,-0.6288,18.0000,0,0,0,0,0
-373.4040,-603.2206,36.4292,-0.6288,18.0000,0,0,0,0,0
-372.5953,-603.8088,36.4282,-0.6287,18.0000,0,0,0,0,0
-371.7865,-604.3968,36.4270,-0.6287,18.0000,0,0,0,0,0
-370.9776,-604.9849,36.4256,-0.6286,18.0000,0,0,0,0,0
-370.1688,-605.5729,36.4242,-0.6285,18.0000,0,0,0,0,0
-369.3599,-606.1608,36.4229,-0.6285,18.0000,0,0,0,0,0
-368.5509,-606.7487,36.4216,-0.6284,18.0000,0,0,0,0,0
-367.7419,-607.3365,36.4203,-0.6283,18.0000,0,0,0,0,0
-366.9329,-607.9242,36.4191,-0.6283,18.0000,0,0,0,0,0
-366.1238,-608.5119,36.4179,-0.6282,18.0000,0,0,0,0,0
-365.3147,-609.0996,36.4169,-0.6281,18.0000,0,0,0,0,0
-364.5055,-609.6872,36.4159,-0.6280,18.0000,0,0,0,0,0
-363.6963,-610.2747,36.4150,-0.6279,18.0000,0,0,0,0,0
-362.8870,-610.8621,36.4142,-0.6279,18.0000,0,0,0,0,0
-362.0777,-611.4495,36.4134,-0.6278,18.0000,0,0,0,0,0
-361.2684,-612.0368,36.4127,-0.6277,18.0000,0,0,0,0,0
-360.4590,-612.6241,36.4120,-0.6276,18.0000,0,0,0,0,0
-359.6495,-613.2113,36.4114,-0.6276,18.0000,0,0,0,0,0
-358.8400,-613.7984,36.4108,-0.6275,18.0000,0,0,0,0,0
-358.0305,-614.3855,36.4102,-0.6274,18.0000,0,0,0,0,0
-357.2209,-614.9725,36.4097,-0.6274,18.0000,0,0,0,0,0
-356.4114,-615.5595,36.4091,-0.6274,18.0000,0,0,0,0,0
-355.6018,-616.1465,36.4086,-0.6273,18.0000,0,0,0,0,0
-354.7922,-616.7335,36.4080,-0.6274,18.0000,0,0,0,0,0
-353.9826,-617.3206,36.4074,-0.6274,18.0000,0,0,0,0,0
-353.1731,-617.9076,36.4068,-0.6275,18.0000,0,0,0,0,0
-352.3636,-618.4948,36.4062,-0.6276,18.0000,0,0,0,0,0
-351.5542,-619.0821,36.4055,-0.6278,18.0000,0,0,0,0,0
-350.7450,-619.6695,36.4047,-0.6280,18.0000,0,0,0,0,0
-349.9358,-620.2571,36.4038,-0.6283,18.0000,0,0,0,0,0
-349.1269,-620.8450,36.4029,-0.6286,18.0000,0,0,0,0,0
-348.3182,-621.4332,36.4019,-0.6291,18.0000,0,0,0,0,0
-347.5097,-622.0218,36.4008,-0.6296,18.0000,0,0,0,0,0
-346.7016,-622.6108,36.3996,-0.6302,18.0000,0,0,0,0,0
-345.8939,-623.2004,36.3982,-0.6308,18.0000,0,0,0,0,0
-345.0865,-623.7904,36.3967,-0.6313,18.0000,0,0,0,0,0
-344.2794,-624.3808,36.3952,-0.6319,18.0000,0,0,0,0,0
-343.4726,-624.9717,36.3938,-0.6323,18.0000,0,0,0,0,0
-342.6661,-625.5629,36.3924,-0.6327,18.0000,0,0,0,0,0
-341.8598,-626.1543,36.3910,-0.6331,18.0000,0,0,0,0,0
-341.0537,-626.7462,36.3892,-0.6338,18.0000,0,0,0,0,0
-340.2482,-627.3387,36.3869,-0.6347,18.0000,0,0,0,0,0
-339.4432,-627.9321,36.3844,-0.6359,18.0000,0,0,0,0,0
-338.6391,-628.5265,36.3815,-0.6372,18.0000,0,0,0,0,0
-337.8357,-629.1219,36.3786,-0.6385,18.0000,0,0,0,0,0
-337.0331,-629.7184,36.3756,-0.6397,18.0000,0,0,0,0,0
-336.2311,-630.3158,36.3724,-0.6406,18.0000,0,0,0,0,0
-335.4296,-630.9138,36.3690,-0.6412,18.0000,0,0,0,0,0
-334.6284,-631.5121,36.3651,-0.6413,18.0000,0,0,0,0,0
-333.8270,-632.1103,36.3605,-0.6407,18.0000,0,0,0,0,0
-333.0251,-632.7077,36.3555,-0.6393,18.0000,0,0,0,0,0
-332.2220,-633.3035,36.3503,-0.6368,18.0000,0,0,0,0,0
-331.4172,-633.8970,36.3448,-0.6332,18.0000,0,0,0,0,0
-330.6098,-634.4869,36.3392,-0.6282,18.0000,0,0,0,0,0
-329.7990,-635.0723,36.3334,-0.6217,18.0000,0,0,0,0,0
-328.9840,-635.6517,36.3270,-0.6135,18.0000,0,0,0,0,0
-328.1638,-636.2237,36.3197,-0.6031,18.0000,0,0,0,0,0
-327.3369,-636.7860,36.3116,-0.5896,18.0000,0,0,0,0,0
-326.5016,-637.3358,36.3036,-0.5765,18.0000,0,0,0,0,0
-325.6602,-637.8760,36.2961,-0.5583,18.0000,0,0,0,0,0
-324.8056,-638.3950,36.2893,-0.5384,18.0000,0,0,0,0,0
-323.9434,-638.9015,36.2828,-0.5243,18.0000,0,0,0,0,0
-323.0744,-639.3961,36.2763,-0.4956,18.0000,0,0,0,0,0
-322.1847,-639.8522,36.2701,-0.4636,18.0000,0,0,0,0,0
-321.2858,-640.2903,36.2640,-0.4406,18.0000,0,0,0,0,0
-320.3764,-640.7049,36.2582,-0.4091,18.0000,0,0,0,0,0
-319.4516,-641.0856,36.2530,-0.3792,18.0000,0,0,0,0,0
-318.5189,-641.4450,36.2482,-0.3492,18.0000,0,0,0,0,0
-317.5731,-641.7696,36.2442,-0.3114,18.0000,0,0,0,0,0
-316.6156,-642.0577,36.2405,-0.2700,18.0000,0,0,0,0,0
-315.6463,-642.3028,36.2366,-0.2380,18.0000,0,0,0,0,0
-314.6724,-642.5291,36.2324,-0.2059,18.0000,0,0,0,0,0
-313.6892,-642.7116,36.2280,-0.1654,18.0000,0,0,0,0,0
-312.7001,-642.8584,36.2238,-0.1277,18.0000,0,0,0,0,0
-311.7062,-642.9663,36.2201,-0.0970,18.0000,0,0,0,0,0
-310.7098,-643.0520,36.2168,-0.0672,18.0000,0,0,0,0,0
-309.7111,-643.1006,36.2145,-0.0291,18.0000,0,0,0,0,0
-308.7111,-643.1102,36.2122,-0.0010,18.0000,0,0,0,0,0
-307.7113,-643.1025,36.2097,0.0266,18.0000,0,0,0,0,0
-306.7124,-643.0570,36.2067,0.0605,18.0000,0,0,0,0,0
-305.7153,-642.9816,36.2038,0.0867,18.0000,0,0,0,0,0
-304.7202,-642.8838,36.2011,0.1130,18.0000,0,0,0,0,0
-303.7284,-642.7562,36.1985,0.1437,18.0000,0,0,0,0,0
-302.7413,-642.5976,36.1960,0.1709,18.0000,0,0,0,0,0
-301.7579,-642.4161,36.1937,0.1919,18.0000,0,0,0,0,0
-300.7782,-642.2162,36.1915,0.2199,18.0000,0,0,0,0,0
-299.8066,-641.9799,36.1898,0.2498,18.0000,0,0,0,0,0
-298.8405,-641.7219,36.1882,0.2820,18.0000,0,0,0,0,0
-297.8863,-641.4236,36.1858,0.3158,18.0000,0,0,0,0,0
-296.9398,-641.1008,36.1822,0.3470,18.0000,0,0,0,0,0
-296.0063,-640.7436,36.1777,0.3789,18.0000,0,0,0,0,0
-295.0823,-640.3612,36.1725,0.4240,18.0000,0,0,0,0,0
-294.1848,-639.9215,36.1744,0.4639,18.0000,0,0,0,0,0
-293.2943,-639.4666,36.1781,0.4937,18.0000,0,0,0,0,0
-292.4247,-638.9743,36.1868,0.5360,18.0000,0,0,0,0,0
-291.5759,-638.4460,36.2001,0.5825,18.0000,0,0,0,0,0
-290.7555,-637.8747,36.2181,0.6378,18.0000,0,0,0,0,0
-289.9703,-637.2561,36.2414,0.6734,18.0000,0,0,0,0,0
-289.1928,-636.6280,36.2657,0.7111,18.0000,0,0,0,0,0
-288.4564,-635.9520,36.2939,0.7517,18.0000,0,0,0,0,0
-287.7327,-635.2631,36.3222,0.7824,18.0000,0,0,0,0,0
-287.0392,-634.5431,36.3503,0.8165,18.0000,0,0,0,0,0
-286.3640,-633.8065,36.3759,0.8441,18.0000,0,0,0,0,0
-285.7112,-633.0492,36.3982,0.8608,18.0000,0,0,0,0,0
-285.0607,-632.2902,36.4202,0.8822,18.0000,0,0,0,0,0
-284.4408,-631.5057,36.4380,0.9021,18.0000,0,0,0,0,0
-283.8209,-630.7212,36.4558,0.9085,18.0000,0,0,0,0,0
-283.2112,-629.9289,36.4749,0.9196,18.0000,0,0,0,0,0
-282.6089,-629.1309,36.4950,0.9281,18.0000,0,0,0,0,0
-282.0127,-628.3283,36.5157,0.9338,18.0000,0,0,0,0,0
-281.4195,-627.5235,36.5358,0.9361,18.0000,0,0,0,0,0
-280.8271,-626.7181,36.5556,0.9363,18.0000,0,0,0,0,0
-280.2342,-625.9130,36.5753,0.9357,18.0000,0,0,0,0,0
-279.6408,-625.1084,36.5949,0.9345,18.0000,0,0,0,0,0
-279.0461,-624.3047,36.6146,0.9320,18.0000,0,0,0,0,0
-278.4486,-623.5031,36.6346,0.9297,18.0000,0,0,0,0,0
-277.8502,-622.7021,36.6546,0.9265,18.0000,0,0,0,0,0
-277.2475,-621.9044,36.6746,0.9237,18.0000,0,0,0,0,0
-276.6447,-621.1067,36.6947,0.9225,18.0000,0,0,0,0,0
-276.0400,-620.3106,36.7148,0.9198,18.0000,0,0,0,0,0
-275.4330,-619.5162,36.7350,0.9170,18.0000,0,0,0,0,0
-274.8239,-618.7233,36.7554,0.9145,18.0000,0,0,0,0,0
-274.2129,-617.9319,36.7758,0.9121,18.0000,0,0,0,0,0
-273.5999,-617.1421,36.7964,0.9108,18.0000,0,0,0,0,0
-272.9869,-616.3523,36.8170,0.9089,18.0000,0,0,0,0,0
-272.3710,-615.5647,36.8378,0.9071,18.0000,0,0,0,0,0
-271.7551,-614.7772,36.8586,0.9058,18.0000,0,0,0,0,0
-271.1371,-613.9913,36.8795,0.9042,18.0000,0,0,0,0,0
-270.5188,-613.2057,36.9006,0.9032,18.0000,0,0,0,0,0
-269.8991,-612.4211,36.9217,0.9019,18.0000,0,0,0,0,0
-269.2788,-611.6370,36.9430,0.9011,18.0000,0,0,0,0,0
-268.6580,-610.8533,36.9643,0.9002,18.0000,0,0,0,0,0
-268.0362,-610.0705,36.9858,0.8992,18.0000,0,0,0,0,0
-267.4138,-609.2881,37.0073,0.8985,18.0000,0,0,0,0,0
-266.7909,-608.5060,37.0290,0.8979,18.0000,0,0,0,0,0
-266.1675,-607.7244,37.0508,0.8974,18.0000,0,0,0,0,0
-265.5439,-606.9430,37.0727,0.8970,18.0000,0,0,0,0,0
-264.9199,-606.1619,37.0948,0.8967,18.0000,0,0,0,0,0
-264.2958,-605.3809,37.1168,0.8964,18.0000,0,0,0,0,0
-263.6714,-604.6001,37.1391,0.8962,18.0000,0,0,0,0,0
-263.0469,-603.8194,37.1614,0.8960,18.0000,0,0,0,0,0
-262.4223,-603.0388,37.1838,0.8959,18.0000,0,0,0,0,0
-261.7976,-602.2582,37.2064,0.8959,18.0000,0,0,0,0,0
-261.1729,-601.4776,37.2290,0.8959,18.0000,0,0,0,0,0
-260.5483,-600.6971,37.2517,0.8959,18.0000,0,0,0,0,0
-259.9237,-599.9165,37.2746,0.8960,18.0000,0,0,0,0,0
-259.2991,-599.1359,37.2975,0.8961,18.0000,0,0,0,0,0
-258.6747,-598.3551,37.3206,0.8962,18.0000,0,0,0,0,0
-258.0503,-597.5744,37.3438,0.8964,18.0000,0,0,0,0,0
-257.4261,-596.7934,37.3671,0.8965,18.0000,0,0,0,0,0
-256.8020,-596.0124,37.3905,0.8966,18.0000,0,0,0,0,0
-256.1779,-595.2314,37.4139,0.8968,18.0000,0,0,0,0,0
-255.5542,-594.4501,37.4376,0.8971,18.0000,0,0,0,0,0
-254.9305,-593.6688,37.4612,0.8971,18.0000,0,0,0,0,0
-254.3068,-592.8875,37.4850,0.8974,18.0000,0,0,0,0,0
-253.6835,-592.1059,37.5089,0.8976,18.0000,0,0,0,0,0
-253.0602,-591.3243,37.5328,0.8978,18.0000,0,0,0,0,0
-252.4372,-590.5424,37.5569,0.8980,18.0000,0,0,0,0,0
-251.8143,-589.7605,37.5811,0.8983,18.0000,0,0,0,0,0
-251.1916,-588.9784,37.6055,0.8985,18.0000,0,0,0,0,0
-250.5690,-588.1962,37.6299,0.8985,18.0000,0,0,0,0,0
-249.9464,-587.4141,37.6543,0.8987,18.0000,0,0,0,0,0
-249.3241,-586.6317,37.6789,0.8989,18.0000,0,0,0,0,0
-248.7019,-585.8492,37.7036,0.8991,18.0000,0,0,0,0,0
-248.0798,-585.0667,37.7284,0.8993,18.0000,0,0,0,0,0
-247.4579,-584.2840,37.7533,0.8994,18.0000,0,0,0,0,0
-246.8361,-583.5012,37.7783,0.8995,18.0000,0,0,0,0,0
-246.2143,-582.7184,37.8033,0.8997,18.0000,0,0,0,0,0
-245.5927,-581.9355,37.8285,0.8998,18.0000,0,0,0,0,0
-244.9711,-581.1525,37.8537,0.8999,18.0000,0,0,0,0,0
-244.3497,-580.3695,37.8790,0.9000,18.0000,0,0,0,0,0
-243.7283,-579.5864,37.9043,0.9001,18.0000,0,0,0,0,0
-243.1071,-578.8032,37.9299,0.9002,18.0000,0,0,0,0,0
-242.4858,-578.0200,37.9554,0.9002,18.0000,0,0,0,0,0
-241.8646,-577.2368,37.9810,0.9003,18.0000,0,0,0,0,0
-241.2435,-576.4534,38.0067,0.9004,18.0000,0,0,0,0,0
-240.6225,-575.6701,38.0324,0.9004,18.0000,0,0,0,0,0
-240.0014,-574.8868,38.0582,0.9005,18.0000,0,0,0,0,0
-239.3804,-574.1034,38.0840,0.9006,18.0000,0,0,0,0,0
-238.7595,-573.3199,38.1099,0.9006,18.0000,0,0,0,0,0
-238.1386,-572.5365,38.1359,0.9006,18.0000,0,0,0,0,0
-237.5177,-571.7530,38.1619,0.9007,18.0000,0,0,0,0,0
-236.8968,-570.9695,38.1880,0.9007,18.0000,0,0,0,0,0
-236.2760,-570.1860,38.2142,0.9007,18.0000,0,0,0,0,0
-235.6552,-569.4025,38.2403,0.9007,18.0000,0,0,0,0,0
-235.0344,-568.6190,38.2665,0.9008,18.0000,0,0,0,0,0
-234.4136,-567.8354,38.2928,0.9008,18.0000,0,0,0,0,0
-233.7928,-567.0519,38.3190,0.9008,18.0000,0,0,0,0,0
-233.1720,-566.2684,38.3454,0.9008,18.0000,0,0,0,0,0
-232.5512,-565.4848,38.3717,0.9008,18.0000,0,0,0,0,0
-231.9305,-564.7013,38.3981,0.9008,18.0000,0,0,0,0,0
-231.3097,-563.9177,38.4245,0.9008,18.0000,0,0,0,0,0
-230.6889,-563.1342,38.4510,0.9008,18.0000,0,0,0,0,0
-230.0682,-562.3506,38.4774,0.9008,18.0000,0,0,0,0,0
-229.4474,-561.5671,38.5039,0.9008,18.0000,0,0,0,0,0
-228.8266,-560.7835,38.5304,0.9008,18.0000,0,0,0,0,0
-228.2059,-560.0000,38.5569,0.9008,18.0000,0,0,0,0,0
-227.5851,-559.2164,38.5835,0.9008,18.0000,0,0,0,0,0
-226.9643,-558.4329,38.6100,0.9008,18.0000,0,0,0,0,0
-226.3435,-557.6494,38.6365,0.9008,18.0000,0,0,0,0,0
-225.7227,-556.8658,38.6631,0.9008,18.0000,0,0,0,0,0
-225.1020,-556.0823,38.6897,0.9008,18.0000,0,0,0,0,0
-224.4812,-555.2988,38.7162,0.9008,18.0000,0,0,0,0,0
-223.8604,-554.5153,38.7428,0.9008,18.0000,0,0,0,0,0
-223.2396,-553.7317,38.7693,0.9007,18.0000,0,0,0,0,0
-222.6188,-552.9482,38.7959,0.9007,18.0000,0,0,0,0,0
-221.9979,-552.1647,38.8224,0.9007,18.0000,0,0,0,0,0
-221.3771,-551.3812,38.8489,0.9007,18.0000,0,0,0,0,0
-220.7563,-550.5977,38.8754,0.9007,18.0000,0,0,0,0,0
-220.1355,-549.8142,38.9019,0.9007,18.0000,0,0,0,0,0
-219.5147,-549.0307,38.9284,0.9007,18.0000,0,0,0,0,0
-218.8938,-548.2472,38.9548,0.9007,18.0000,0,0,0,0,0
-218.2730,-547.4637,38.9812,0.9007,18.0000,0,0,0,0,0
-217.6522,-546.6802,39.0076,0.9007,18.0000,0,0,0,0,0
-217.0313,-545.8967,39.0340,0.9007,18.0000,0,0,0,0,0
-216.4105,-545.1132,39.0603,0.9007,18.0000,0,0,0,0,0
-215.7897,-544.3297,39.0866,0.9007,18.0000,0,0,0,0,0
-215.1688,-543.5462,39.1129,0.9007,18.0000,0,0,0,0,0
-214.5480,-542.7627,39.1391,0.9007,18.0000,0,0,0,0,0
-213.9271,-541.9792,39.1652,0.9007,18.0000,0,0,0,0,0
-213.3063,-541.1957,39.1914,0.9007,18.0000,0,0,0,0,0
-212.6855,-540.4122,39.2175,0.9007,18.0000,0,0,0,0,0
-212.0646,-539.6287,39.2435,0.9007,18.0000,0,0,0,0,0
-211.4438,-538.8452,39.2695,0.9007,18.0000,0,0,0,0,0
-210.8230,-538.0617,39.2954,0.9007,18.0000,0,0,0,0,0
-210.2021,-537.2782,39.3213,0.9007,18.0000,0,0,0,0,0
-209.5813,-536.4946,39.3471,0.9007,18.0000,0,0,0,0,0
-208.9605,-535.7111,39.3728,0.9007,18.0000,0,0,0,0,0
-208.3397,-534.9276,39.3985,0.9007,18.0000,0,0,0,0,0
-207.7188,-534.1440,39.4242,0.9007,18.0000,0,0,0,0,0
-207.0980,-533.3605,39.4498,0.9008,18.0000,0,0,0,0,0
-206.4772,-532.5770,39.4753,0.9008,18.0000,0,0,0,0,0
-205.8564,-531.7934,39.5008,0.9008,18.0000,0,0,0,0,0
-205.2356,-531.0099,39.5262,0.9008,18.0000,0,0,0,0,0
-204.6148,-530.2263,39.5516,0.9008,18.0000,0,0,0,0,0
-203.9940,-529.4428,39.5768,0.9008,18.0000,0,0,0,0,0
-203.3732,-528.6592,39.6021,0.9008,18.0000,0,0,0,0,0
-202.7524,-527.8756,39.6272,0.9008,18.0000,0,0,0,0,0
-202.1316,-527.0920,39.6523,0.9008,18.0000,0,0,0,0,0
-201.5108,-526.3085,39.6773,0.9008,18.0000,0,0,0,0,0
-200.8900,-525.5249,39.7022,0.9008,18.0000,0,0,0,0,0
-200.2693,-524.7413,39.7271,0.9008,18.0000,0,0,0,0,0
-199.6485,-523.9577,39.7519,0.9008,18.0000,0,0,0,0,0
-199.0277,-523.1741,39.7766,0.9008,18.0000,0,0,0,0,0
-198.4069,-522.3905,39.8013,0.9008,18.0000,0,0,0,0,0
-197.7862,-521.6069,39.8259,0.9008,18.0000,0,0,0,0,0
-197.1654,-520.8232,39.8504,0.9009,18.0000,0,0,0,0,0
-196.5447,-520.0396,39.8748,0.9009,18.0000,0,0,0,0,0
-195.9239,-519.2560,39.8991,0.9009,18.0000,0,0,0,0,0
-195.3032,-518.4723,39.9234,0.9009,18.0000,0,0,0,0,0
-194.6825,-517.6887,39.9475,0.9009,18.0000,0,0,0,0,0
-194.0617,-516.9050,39.9716,0.9009,18.0000,0,0,0,0,0
-193.4410,-516.1214,39.9957,0.9009,18.0000,0,0,0,0,0
-192.8203,-515.3377,40.0196,0.9009,18.0000,0,0,0,0,0
-192.1995,-514.5541,40.0435,0.9009,18.0000,0,0,0,0,0
-191.5788,-513.7704,40.0672,0.9009,18.0000,0,0,0,0,0
-190.9581,-512.9867,40.0909,0.9009,18.0000,0,0,0,0,0
-190.3374,-512.2030,40.1145,0.9009,18.0000,0,0,0,0,0
-189.7167,-511.4193,40.1379,0.9009,18.0000,0,0,0,0,0
-189.0960,-510.6356,40.1613,0.9009,18.0000,0,0,0,0,0
-188.4753,-509.8519,40.1847,0.9009,18.0000,0,0,0,0,0
-187.8546,-509.0682,40.2079,0.9009,18.0000,0,0,0,0,0
-187.2339,-508.2845,40.2311,0.9010,18.0000,0,0,0,0,0
-186.6132,-507.5008,40.2541,0.9010,18.0000,0,0,0,0,0
-185.9925,-506.7171,40.2770,0.9010,18.0000,0,0,0,0,0
-185.3718,-505.9334,40.2999,0.9010,18.0000,0,0,0,0,0
-184.7511,-505.1496,40.3226,0.9010,18.0000,0,0,0,0,0
-184.1304,-504.3659,40.3452,0.9010,18.0000,0,0,0,0,0
-183.5097,-503.5822,40.3678,0.9010,18.0000,0,0,0,0,0
-182.8890,-502.7985,40.3902,0.9010,18.0000,0,0,0,0,0
-182.2683,-502.0147,40.4126,0.9010,18.0000,0,0,0,0,0
-181.6476,-501.2310,40.4349,0.9010,18.0000,0,0,0,0,0
-181.0269,-500.4472,40.4570,0.9010,18.0000,0,0,0,0,0
-180.4062,-499.6635,40.4790,0.9010,18.0000,0,0,0,0,0
-179.7855,-498.8798,40.5010,0.9010,18.0000,0,0,0,0,0
-179.1648,-498.0960,40.5229,0.9009,18.0000,0,0,0,0,0
-178.5441,-497.3124,40.5463,0.9009,18.0000,0,0,0,0,0
-177.9234,-496.5287,40.5707,0.9009,18.0000,0,0,0,0,0
-177.3027,-495.7450,40.5947,0.9009,18.0000,0,0,0,0,0
-176.6820,-494.9613,40.6169,0.9009,18.0000,0,0,0,0,0
-176.0612,-494.1776,40.6376,0.9009,18.0000,0,0,0,0,0
-175.4403,-493.3939,40.6585,0.9008,18.0000,0,0,0,0,0
-174.8195,-492.6103,40.6812,0.9008,18.0000,0,0,0,0,0
-174.1987,-491.8267,40.7039,0.9007,18.0000,0,0,0,0,0
-173.5779,-491.0432,40.7313,0.9007,18.0000,0,0,0,0,0
-172.9570,-490.2598,40.7589,0.9007,18.0000,0,0,0,0,0
-172.3360,-489.4762,40.7763,0.9006,18.0000,0,0,0,0,0
-171.7150,-488.6926,40.7925,0.9006,18.0000,0,0,0,0,0
