x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-13.3095,-538.4842,39.0653,2.4709,18.0000,0,0,0,0,0
-14.0864,-537.8678,39.0414,2.4710,18.0000,0,0,0,0,0
-14.8699,-537.2464,39.0458,2.4713,18.0000,0,0,0,0,0
-15.6537,-536.6254,39.0505,2.4716,18.0000,0,0,0,0,0
-16.4375,-536.0045,39.0552,2.4717,18.0000,0,0,0,0,0
-17.2214,-535.3836,39.0598,2.4717,18.0000,0,0,0,0,0
-18.0053,-534.7627,39.0645,2.4717,18.0000,0,0,0,0,0
-18.7893,-534.1419,39.0692,2.4720,18.0000,0,0,0,0,0
-19.5735,-533.5214,39.0742,2.4724,18.0000,0,0,0,0,0
-20.3579,-532.9012,39.0810,2.4726,18.0000,0,0,0,0,0
-21.1424,-532.2811,39.0882,2.4727,18.0000,0,0,0,0,0
-21.9268,-531.6610,39.0954,2.4727,18.0000,0,0,0,0,0
-22.7113,-531.0408,39.1027,2.4727,18.0000,0,0,0,0,0
-23.4958,-530.4207,39.1099,2.4727,18.0000,0,0,0,0,0
-24.2802,-529.8006,39.1171,2.4728,18.0000,0,0,0,0,0
-25.0648,-529.1806,39.1249,2.4729,18.0000,0,0,0,0,0
-25.8494,-528.5607,39.1329,2.4729,18.0000,0,0,0,0,0
-26.6340,-527.9407,39.1412,2.4729,18.0000,0,0,0,0,0
-27.4186,-527.3208,39.1504,2.4729,18.0000,0,0,0,0,0
-28.2032,-526.7009,39.1596,2.4729,18.0000,0,0,0,0,0
-28.9878,-526.0809,39.1689,2.4729,18.0000,0,0,0,0,0
-29.7724,-525.4610,39.1781,2.4729,18.0000,0,0,0,0,0
-30.5570,-524.8411,39.1874,2.4729,18.0000,0,0,0,0,0
-31.3416,-524.2211,39.1966,2.4729,18.0000,0,0,0,0,0
-32.1262,-523.6012,39.2074,2.4728,18.0000,0,0,0,0,0
-32.9107,-522.9812,39.2189,2.4728,18.0000,0,0,0,0,0
-33.6952,-522.3611,39.2304,2.4727,18.0000,0,0,0,0,0
-34.4797,-521.7411,39.2425,2.4726,18.0000,0,0,0,0,0
-35.2640,-521.1209,39.2558,2.4726,18.0000,0,0,0,0,0
-36.0484,-520.5008,39.2692,2.4726,18.0000,0,0,0,0,0
-36.8328,-519.8806,39.2825,2.4726,18.0000,0,0,0,0,0
-37.6171,-519.2604,39.2959,2.4726,18.0000,0,0,0,0,0
-38.4015,-518.6403,39.3092,2.4726,18.0000,0,0,0,0,0
-39.1858,-518.0201,39.3227,2.4724,18.0000,0,0,0,0,0
-39.9700,-517.3998,39.3376,2.4723,18.0000,0,0,0,0,0
-40.7542,-516.7794,39.3527,2.4723,18.0000,0,0,0,0,0
-41.5384,-516.1591,39.3678,2.4721,18.0000,0,0,0,0,0
-42.3223,-515.5385,39.3842,2.4720,18.0000,0,0,0,0,0
-43.1063,-514.9179,39.4006,2.4720,18.0000,0,0,0,0,0
-43.8902,-514.2972,39.4171,2.4720,18.0000,0,0,0,0,0
-44.6742,-513.6766,39.4336,2.4720,18.0000,0,0,0,0,0
-45.4581,-513.0560,39.4501,2.4720,18.0000,0,0,0,0,0
-46.2421,-512.4354,39.4666,2.4720,18.0000,0,0,0,0,0
-47.0260,-511.8148,39.4831,2.4718,18.0000,0,0,0,0,0
-47.8098,-511.1940,39.5005,2.4716,18.0000,0,0,0,0,0
-48.5935,-510.5731,39.5182,2.4716,18.0000,0,0,0,0,0
-49.3771,-509.9522,39.5359,2.4714,18.0000,0,0,0,0,0
-50.1606,-509.3310,39.5543,2.4713,18.0000,0,0,0,0,0
-50.9441,-508.7099,39.5727,2.4713,18.0000,0,0,0,0,0
-51.7276,-508.0887,39.5910,2.4713,18.0000,0,0,0,0,0
-52.5110,-507.4676,39.6094,2.4713,18.0000,0,0,0,0,0
-53.2945,-506.8464,39.6278,2.4713,18.0000,0,0,0,0,0
-54.0780,-506.2253,39.6461,2.4713,18.0000,0,0,0,0,0
-54.8615,-505.6041,39.6645,2.4712,18.0000,0,0,0,0,0
-55.6449,-504.9829,39.6830,2.4710,18.0000,0,0,0,0,0
-56.4281,-504.3615,39.7019,2.4709,18.0000,0,0,0,0,0
-57.2114,-503.7401,39.7207,2.4709,18.0000,0,0,0,0,0
-57.9946,-503.1186,39.7395,2.4708,18.0000,0,0,0,0,0
-58.7778,-502.4971,39.7583,2.4708,18.0000,0,0,0,0,0
-59.5610,-501.8756,39.7771,2.4708,18.0000,0,0,0,0,0
-60.3441,-501.2540,39.7959,2.4708,18.0000,0,0,0,0,0
-61.1273,-500.6325,39.8146,2.4708,18.0000,0,0,0,0,0
-61.9105,-500.0110,39.8334,2.4708,18.0000,0,0,0,0,0
-62.6936,-499.3895,39.8522,2.4708,18.0000,0,0,0,0,0
-63.4768,-498.7679,39.8710,2.4707,18.0000,0,0,0,0,0
-64.2599,-498.1464,39.8895,2.4707,18.0000,0,0,0,0,0
-65.0431,-497.5248,39.9079,2.4707,18.0000,0,0,0,0,0
-65.8263,-496.9033,39.9263,2.4708,18.0000,0,0,0,0,0
