x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-327.2318,-619.8522,36.3642,2.5109,18,0,0,0,0,0
-328.0331,-619.2671,36.3399,2.5108,18,0,0,0,0,0
-328.8406,-618.6772,36.3433,2.5093,18,0,0,0,0,0
-329.6464,-618.0851,36.3469,2.5068,18,0,0,0,0,0
-330.451,-617.4912,36.3502,2.5064,18,0,0,0,0,0
-331.2564,-616.8985,36.3533,2.5109,18,0,0,0,0,0
-332.0662,-616.3118,36.3562,2.5205,18,0,0,0,0,0
-332.8827,-615.7346,36.359,2.5333,18,0,0,0,0,0
-333.7074,-615.169,36.3615,2.5496,18,0,0,0,0,0
-334.5424,-614.6187,36.3643,2.5695,18,0,0,0,0,0
-335.3888,-614.0863,36.368,2.5912,18,0,0,0,0,0
-336.2468,-613.5727,36.3723,2.6127,18,0,0,0,0,0
-337.1154,-613.0772,36.3763,2.634,18,0,0,0,0,0
-337.9945,-612.6007,36.3798,2.6547,18,0,0,0,0,0
-338.8828,-612.1414,36.3828,2.6709,18,0,0,0,0,0
-339.777,-611.6938,36.3856,2.6856,18,0,0,0,0,0
-340.6784,-611.2608,36.3882,2.6997,18,0,0,0,0,0
-341.5849,-610.8386,36.3907,2.7098,18,0,0,0,0,0
-342.4948,-610.4238,36.3929,2.7166,18,0,0,0,0,0
-343.4069,-610.0139,36.395,2.7204,18,0,0,0,0,0
-344.32,-609.6061,36.3969,2.7204,18,0,0,0,0,0
-345.2321,-609.1963,36.3988,2.7172,18,0,0,0,0,0
-346.1425,-608.7826,36.4005,2.7117,18,0,0,0,0,0
-347.0501,-608.3627,36.4022,2.702,18,0,0,0,0,0
-347.9524,-607.9315,36.4038,2.6887,18,0,0,0,0,0
-348.8485,-607.4877,36.4053,2.673,18,0,0,0,0,0
-349.7367,-607.0284,36.4067,2.6558,18,0,0,0,0,0
-350.617,-606.554,36.4081,2.6379,18,0,0,0,0,0
-351.4882,-606.0632,36.4094,2.6203,18,0,0,0,0,0
-352.3512,-605.558,36.4107,2.6017,18,0,0,0,0,0
-353.2037,-605.0353,36.412,2.5836,18,0,0,0,0,0
-354.0477,-604.499,36.4134,2.5676,18,0,0,0,0,0
-354.8831,-603.9494,36.4148,2.5517,18,0,0,0,0,0
-355.7096,-603.3865,36.4162,2.5389,18,0,0,0,0,0
-356.5306,-602.8157,36.4177,2.5299,18,0,0,0,0,0
-357.3469,-602.238,36.4193,2.5193,18,0,0,0,0,0
-358.1557,-601.65,36.4211,2.5111,18,0,0,0,0,0
-358.9624,-601.059,36.423,2.506,18,0,0,0,0,0
-359.7651,-600.4627,36.4249,2.5003,18,0,0,0,0,0
-360.565,-599.8625,36.4271,2.4964,18,0,0,0,0,0
-361.3632,-599.26,36.4294,2.4937,18,0,0,0,0,0
-362.1598,-598.6555,36.432,2.4921,18,0,0,0,0,0
-362.9559,-598.0504,36.4346,2.4912,18,0,0,0,0,0
-363.7514,-597.4445,36.4373,2.4907,18,0,0,0,0,0
-364.547,-596.8386,36.4402,2.491,18,0,0,0,0,0
-365.3429,-596.2332,36.4433,2.4918,18,0,0,0,0,0
-366.1394,-595.6287,36.4464,2.4934,18,0,0,0,0,0
-366.9371,-595.0256,36.4497,2.4952,18,0,0,0,0,0
-367.736,-594.4241,36.4531,2.497,18,0,0,0,0,0
-368.5359,-593.824,36.4566,2.5,18,0,0,0,0,0
-369.3382,-593.2271,36.4602,2.5028,18,0,0,0,0,0
-370.1415,-592.6315,36.4639,2.5057,18,0,0,0,0,0
-370.9472,-592.0392,36.4676,2.5098,18,0,0,0,0,0
-371.7554,-591.4504,36.4715,2.515,18,0,0,0,0,0
-372.5673,-590.8665,36.4755,2.5194,18,0,0,0,0,0
-373.3806,-590.2847,36.4795,2.5233,18,0,0,0,0,0
-374.1969,-589.7072,36.4836,2.5286,18,0,0,0,0,0
-375.0165,-589.1341,36.4878,2.5335,18,0,0,0,0,0
-375.8384,-588.5646,36.4921,2.5379,18,0,0,0,0,0
-376.663,-587.9988,36.4964,2.5439,18,0,0,0,0,0
-377.4917,-587.4392,36.5008,2.5496,18,0,0,0,0,0
-378.3225,-586.8827,36.5052,2.5555,18,0,0,0,0,0
-379.1579,-586.333,36.5097,2.564,18,0,0,0,0,0
-379.998,-585.7907,36.5141,2.5707,18,0,0,0,0,0
-380.8407,-585.2523,36.5186,2.579,18,0,0,0,0,0
-381.6897,-584.724,36.5231,2.5891,18,0,0,0,0,0
-382.5431,-584.2027,36.5277,2.5981,18,0,0,0,0,0
-383.4015,-583.6898,36.5322,2.607,18,0,0,0,0,0
-384.264,-583.1838,36.5368,2.6151,18,0,0,0,0,0
-385.1306,-582.6848,36.5413,2.6224,18,0,0,0,0,0
-386.0004,-582.1915,36.5459,2.6306,18,0,0,0,0,0
-386.875,-581.7066,36.5504,2.6367,18,0,0,0,0,0
-387.7509,-581.2241,36.5549,2.6413,18,0,0,0,0,0
-388.6298,-580.7472,36.5594,2.6456,18,0,0,0,0,0
-389.5099,-580.2724,36.5639,2.6486,18,0,0,0,0,0
-390.3917,-579.8007,36.5684,2.6512,18,0,0,0,0,0
-391.2742,-579.3305,36.5729,2.6521,18,0,0,0,0,0
-392.1568,-578.8604,36.5773,2.652,18,0,0,0,0,0
-393.0392,-578.3899,36.5817,2.6511,18,0,0,0,0,0
-393.921,-577.9183,36.586,2.6494,18,0,0,0,0,0
-394.8018,-577.4448,36.5903,2.6463,18,0,0,0,0,0
-395.6806,-576.9677,36.5946,2.6425,18,0,0,0,0,0
-396.5578,-576.4875,36.5988,2.6382,18,0,0,0,0,0
-397.4325,-576.0029,36.6029,2.6325,18,0,0,0,0,0
-398.3041,-575.5128,36.6069,2.6269,18,0,0,0,0,0
-399.1734,-575.0184,36.6109,2.6219,18,0,0,0,0,0
-400.0401,-574.5196,36.6147,2.6152,18,0,0,0,0,0
-400.9026,-574.0136,36.6185,2.6094,18,0,0,0,0,0
-401.7635,-573.5048,36.6222,2.6041,18,0,0,0,0,0
-402.6205,-572.9896,36.6259,2.5972,18,0,0,0,0,0
-403.4743,-572.4689,36.6294,2.5908,18,0,0,0,0,0
-404.3247,-571.9429,36.6328,2.5848,18,0,0,0,0,0
-405.1722,-571.412,36.6362,2.5787,18,0,0,0,0,0
-406.0161,-570.8756,36.6395,2.574,18,0,0,0,0,0
-406.8586,-570.3369,36.6427,2.5685,18,0,0,0,0,0
-407.6965,-569.791,36.6458,2.5626,18,0,0,0,0,0
-408.5326,-569.2426,36.6489,2.5585,18,0,0,0,0,0
-409.3659,-568.6898,36.6518,2.5536,18,0,0,0,0,0
-410.1967,-568.1331,36.6548,2.5491,18,0,0,0,0,0
-411.025,-567.573,36.6576,2.5443,18,0,0,0,0,0
-411.8503,-567.0083,36.6603,2.5396,18,0,0,0,0,0
-412.6735,-566.4404,36.663,2.536,18,0,0,0,0,0
